University Name,Course Link,DAAD LINK,"Language ",Program Name,Summer Semster,"Winter Semster ",admission
University of Bremen,https://www.uni-bremen.de/studium/orientieren-bewerben/studienplatzbewerbung/master#c600036,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3713/#tab_overview,"English Bsc, Ielts or Toefl","Communication and Information Technology (CIT), M.Sc.","December 1, 2025 → January 15, 2026","May 1, 2026 → July 15, 2026",university
TU Dortmund University,https://etit.tu-dortmund.de/studium-und-lehre/studiengaenge/master-automation-and-robotics/,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8996/#tab_overview,Ielts or Toefl,Automation and Robotics,,,uni_assist
